crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
63304,419,53437,61064,104,29,5,1250,2,414,6,3
63304,419,53437,61064,104,29,5,1250,2,414,6,3
63304,419,53437,61064,133,29,5,1250,2,414,6,3
70291,0,35547,0,214,26,4,1250,1,386,11,2
21244,200,9435,0,36,16,2,1200,5,245,5,1
21244,200,9435,0,36,16,2,1200,5,245,5,1
21244,200,9435,0,36,16,2,1200,5,245,5,1
74812,645,33280,3587,84,21,3,1250,4,443,10,0
74812,645,33280,3587,84,21,3,1250,4,443,10,0
74812,645,33280,3587,84,21,3,1250,4,443,10,0
74812,645,33280,3587,84,21,3,1250,4,443,10,0
74812,645,33280,3587,84,21,3,1250,4,443,10,0
74812,645,33280,3587,84,21,3,1250,4,443,10,0
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,60,27,4,1200,0,484,9,2
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,60,27,4,1200,0,484,9,2
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,60,27,4,1200,0,484,9,2
142507,1238,83135,8414,85,27,4,1200,0,484,9,2
142507,1238,83135,8414,97,27,4,1200,0,484,9,2
142507,1238,83135,8414,109,27,4,1200,0,484,9,2
142507,1238,83135,8414,85,27,4,1200,0,484,9,2
142507,1238,83135,8414,60,27,4,1200,0,484,9,2
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,120,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,120,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,120,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,115,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,60,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,85,22,3,1250,3,205,5,3
147442,1171,78559,5218,150,22,3,1250,3,205,5,3
147442,1171,78559,5218,120,22,3,1250,3,205,5,3
91401,692,49313,4915,85,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
91401,692,49313,4915,85,24,5,1250,2,735,11,6
91401,692,49313,4915,102,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
91401,692,49313,4915,60,24,5,1250,2,735,11,6
40695,420,20553,2518,105,19,3,1200,5,514,4,18
40695,420,20553,2518,108,19,3,1200,5,514,4,18
504698,3021,353089,0,84,29,5,1200,0,370,10,6
504698,3021,353089,0,77,29,5,1200,0,370,10,6
